EmployeeID,Age,Gender,Department,EducationLevel,JobRole,YearsAtCompany,JobSatisfaction,WorkLifeBalance,TrainingTimesLastYear,Overtime,PerformanceRating,Attrition,MonthlyIncome
1,50,Male,Marketing,1,Analyst,17,4,2,9,Yes,3,No,32956
2,36,Female,IT,2,Analyst,5,1,2,6,No,3,No,29193
3,29,Male,Finance,3,Manager,16,1,2,5,No,4,No,206465
4,42,Male,Marketing,1,Specialist,24,3,3,1,No,3,No,32283
5,40,Female,Sales,2,Executive,14,3,2,2,No,2,Yes,18136
6,44,Male,Finance,1,Analyst,19,2,3,7,No,1,No,12985
7,32,Male,Marketing,2,Clerk,6,3,2,3,No,2,No,9206
8,32,Female,Marketing,1,Clerk,3,2,2,7,No,1,No,5296
9,45,Female,Marketing,2,Clerk,6,3,3,2,No,2,No,8397
10,57,Male,HR,3,Manager,12,3,3,1,No,3,Yes,175252
11,45,Male,IT,2,Clerk,20,2,2,6,No,3,No,32849
12,24,Male,Finance,2,Manager,30,4,3,0,No,3,No,189601
13,43,Female,Finance,2,Executive,11,3,3,2,Yes,3,Yes,181992
14,23,Male,Finance,3,Clerk,7,2,1,1,No,2,No,11987
15,45,Female,Marketing,2,Specialist,27,4,2,4,No,3,No,37796
16,51,Female,IT,2,Analyst,26,4,2,1,No,3,Yes,35573
17,59,Male,Sales,2,Executive,1,3,2,9,No,3,No,38529
18,23,Male,Finance,2,Specialist,16,2,3,4,No,3,No,35019
19,42,Male,IT,2,Executive,16,4,2,2,Yes,2,No,26591
20,54,Male,IT,3,Clerk,17,1,2,8,No,3,No,33079
21,33,Female,HR,2,Executive,15,1,2,9,No,4,No,237939
22,43,Male,Finance,2,Executive,21,2,4,8,No,3,No,191165
23,46,Male,Marketing,2,Executive,9,3,3,7,No,2,No,21166
24,48,Female,IT,1,Manager,5,4,1,4,Yes,4,Yes,63606
25,49,Male,IT,1,Specialist,20,3,2,9,No,2,No,14939
26,37,Female,Sales,3,Clerk,8,4,2,6,No,3,No,31320
27,36,Male,HR,3,Analyst,29,1,3,1,No,2,No,16962
28,24,Female,IT,3,Clerk,21,1,2,2,No,4,No,64207
29,58,Female,IT,3,Clerk,1,3,4,1,No,3,No,29154
30,28,Female,Marketing,2,Manager,7,4,2,9,No,3,Yes,34987
31,42,Female,Marketing,2,Manager,11,3,3,0,No,3,No,137424
32,30,Male,Sales,2,Executive,20,1,3,2,Yes,3,No,190028
33,39,Male,Sales,1,Clerk,26,2,3,3,Yes,2,No,10998
34,25,Female,Sales,3,Specialist,21,2,2,8,Yes,3,No,39114
35,46,Female,Marketing,4,Manager,13,2,3,1,No,3,No,184093
36,35,Male,Marketing,3,Manager,22,1,2,8,No,3,No,238340
37,30,Male,HR,2,Specialist,13,4,2,0,Yes,1,Yes,12130
38,47,Male,Finance,2,Manager,7,3,3,8,No,2,No,15032
39,23,Male,Finance,1,Specialist,11,3,4,5,No,3,No,28557
40,41,Male,HR,2,Analyst,18,1,3,7,No,3,No,32175
41,49,Female,Finance,2,Specialist,30,1,2,2,No,2,Yes,16510
42,28,Male,Marketing,2,Analyst,1,3,3,7,Yes,2,No,6859
43,29,Male,Finance,3,Executive,12,4,1,8,Yes,3,No,175304
44,56,Female,Marketing,3,Executive,3,3,2,6,No,2,No,15877
45,35,Female,HR,1,Manager,26,4,3,3,No,3,No,163055
46,38,Female,Sales,1,Specialist,28,4,2,5,No,3,No,37443
47,57,Female,HR,2,Manager,1,1,4,5,Yes,3,Yes,36550
48,25,Male,Finance,2,Specialist,4,2,2,1,No,4,No,62166
49,23,Female,Marketing,3,Manager,6,3,2,1,No,2,No,15675
50,27,Female,Finance,2,Executive,5,2,3,4,Yes,4,No,63712
51,25,Male,Finance,2,Executive,29,2,3,0,Yes,3,No,232875
52,50,Female,Sales,2,Manager,11,2,2,4,No,3,No,163366
