EmployeeID,Age,EducationLevel,YearsAtCompany,JobSatisfaction,WorkLifeBalance,TrainingTimesLastYear,PerformanceRating,MonthlyIncome,Gender_Encoded,Attrition_Encoded,Overtime_Encoded,Department_Encoded,JobRole_Encoded
1,50,1,17,4,2,9,3,32956,1,0,1,3,0
2,36,2,5,1,2,6,3,29193,0,0,0,2,0
3,29,3,16,1,2,5,4,206465,1,0,0,0,3
4,42,1,24,3,3,1,3,32283,1,0,0,3,4
5,40,2,14,3,2,2,2,18136,0,1,0,4,2
6,44,1,19,2,3,7,1,12985,1,0,0,0,0
7,32,2,6,3,2,3,2,9206,1,0,0,3,1
8,32,1,3,2,2,7,1,5296,0,0,0,3,1
9,45,2,6,3,3,2,2,8397,0,0,0,3,1
10,57,3,12,3,3,1,3,175252,1,1,0,1,3
11,45,2,20,2,2,6,3,32849,1,0,0,2,1
12,24,2,30,4,3,0,3,189601,1,0,0,0,3
13,43,2,11,3,3,2,3,181992,0,1,1,0,2
14,23,3,7,2,1,1,2,11987,1,0,0,0,1
15,45,2,27,4,2,4,3,37796,0,0,0,3,4
16,51,2,26,4,2,1,3,35573,0,1,0,2,0
17,59,2,1,3,2,9,3,38529,1,0,0,4,2
18,23,2,16,2,3,4,3,35019,1,0,0,0,4
19,42,2,16,4,2,2,2,26591,1,0,1,2,2
20,54,3,17,1,2,8,3,33079,1,0,0,2,1
21,33,2,15,1,2,9,4,237939,0,0,0,1,2
22,43,2,21,2,4,8,3,191165,1,0,0,0,2
23,46,2,9,3,3,7,2,21166,1,0,0,3,2
24,48,1,5,4,1,4,4,63606,0,1,1,2,3
25,49,1,20,3,2,9,2,14939,1,0,0,2,4
26,37,3,8,4,2,6,3,31320,0,0,0,4,1
27,36,3,29,1,3,1,2,16962,1,0,0,1,0
28,24,3,21,1,2,2,4,64207,0,0,0,2,1
29,58,3,1,3,4,1,3,29154,0,0,0,2,1
30,28,2,7,4,2,9,3,34987,0,1,0,3,3
31,42,2,11,3,3,0,3,137424,0,0,0,3,3
32,30,2,20,1,3,2,3,190028,1,0,1,4,2
33,39,1,26,2,3,3,2,10998,1,0,1,4,1
34,25,3,21,2,2,8,3,39114,0,0,1,4,4
35,46,4,13,2,3,1,3,184093,0,0,0,3,3
36,35,3,22,1,2,8,3,238340,1,0,0,3,3
37,30,2,13,4,2,0,1,12130,1,1,1,1,4
